# IRC section -> PDF page -> title | Source: IRC PDF, Release Point 119-102 (Aug 2026), 7,171 pages | Regenerate: pdftotext + regex ^§(sec)\. per page
139D	1108	Indian health care benefits
139E	1110	Indian general welfare benefits
139F	1112	Certain amounts received by wrongfully incarcerated individuals
139G	1113	Assignments to Alaska Native Settlement Trusts
139H	1114	Interest received in action to recover property seized by the Internal
139I	1114	Continuation coverage premium assistance
139J	1114	Certain contributions to Trump accounts
139K	1115	Scholarships for qualified elementary or secondary education expenses of
139L	1115	Interest on loans secured by rural or agricultural real property
140	1117	Cross references to other Acts
141	1120	Private activity bond; qualified bond
142	1164	Exempt facility bond
143	1184	Mortgage revenue bonds: qualified mortgage bond and qualified veterans'
144	1205	Qualified small issue bond; qualified student loan bond; qualified
145	1216	Qualified 501(c)(3) bond
146	1220	Volume cap
147	1228	Other requirements applicable to certain private activity bonds
148	1236	Arbitrage
149	1251	Bonds must be registered to be tax exempt; other requirements
150	1260	Definitions and special rules
151	1266	Allowance of deductions for personal exemptions
152	1272	Dependent defined
153	1281	Cross references
161	1284	Allowance of deductions
162	1285	Trade or business expenses
163	1312	Interest
164	1342	Taxes
165	1351	Losses
166	1366	Bad debts
167	1369	Depreciation
168	1384	Accelerated cost recovery system
169	1478	Amortization of pollution control facilities
170	1482	Charitable, etc., contributions and gifts
171	1533	Amortizable bond premium
172	1538	Net operating loss deduction
173	1561	Circulation expenditures
174	1562	Amortization of research and experimental expenditures
174A	1565	Domestic research or experimental expenditures
175	1567	Soil and water conservation expenditures; endangered species recovery
176	1571	Payments with respect to employees of certain foreign corporations
178	1571	Amortization of cost of acquiring a lease
179	1572	Election to expense certain depreciable business assets
179B	1583	Deduction for capital costs incurred in complying with Environmental
179C	1584	Election to expense certain refineries
179D	1587	Energy efficient commercial buildings deduction
179E	1594	Election to expense advanced mine safety equipment
180	1596	Expenditures by farmers for fertilizer, etc.
181	1596	Treatment of certain qualified productions
183	1601	Activities not engaged in for profit
186	1604	Recoveries of damages for antitrust violations, etc.
190	1607	Expenditures to remove architectural and transportation barriers to the
192	1608	Contributions to black lung benefit trust
193	1611	Tertiary injectants
194	1612	Treatment of reforestation expenditures
194A	1615	Contributions to employer liability trusts
195	1616	Start-up expenditures
196	1618	Deduction for certain unused business credits
197	1622	Amortization of goodwill and certain other intangibles
198	1628	Expensing of environmental remediation costs
199A	1632	Qualified business income
211	1645	Allowance of deductions
212	1645	Expenses for production of income
213	1645	Medical, dental, etc., expenses
216	1653	Deduction of taxes, interest, and business depreciation by cooperative
217	1659	Moving expenses
219	1664	Retirement savings
220	1680	Archer MSAs
221	1694	Interest on education loans
223	1699	Health savings accounts
224	1711	Qualified tips
225	1713	Qualified overtime compensation
226	1714	Cross reference
241	1716	Allowance of special deductions
243	1717	Dividends received by corporations
245	1723	Dividends received from certain foreign corporations
245A	1728	Deduction for foreign source-portion of dividends received by domestic
246	1730	Rules applying to deductions for dividends received
246A	1738	Dividends received deduction reduced where portfolio stock is debt
247	1741	Contributions to Alaska Native Settlement Trusts
248	1744	Organizational expenditures
249	1745	Limitation on deduction of bond premium on repurchase
250	1746	Foreign-derived deduction eligible income and net CFC tested income
261	1751	General rule for disallowance of deductions
262	1752	Personal, living, and family expenses
263	1752	Capital expenditures
263A	1760	Capitalization and inclusion in inventory costs of certain expenses
264	1771	Certain amounts paid in connection with insurance contracts
265	1778	Expenses and interest relating to tax-exempt income
266	1786	Carrying charges
267	1786	Losses, expenses, and interest with respect to transactions between related
267A	1794	Certain related party amounts paid or accrued in hybrid transactions or
268	1796	Sale of land with unharvested crop
269	1796	Acquisitions made to evade or avoid income tax
269A	1797	Personal service corporations formed or availed of to avoid or evade
269B	1798	Stapled entities
271	1804	Debts owed by political parties, etc.
272	1805	Disposal of coal or domestic iron ore
273	1806	Holders of life or terminable interest
274	1806	Disallowance of certain entertainment, etc., expenses
275	1823	Certain taxes
276	1825	Certain indirect contributions to political parties
277	1827	Deductions incurred by certain membership organizations in transactions
279	1828	Interest on indebtedness incurred by corporation to acquire stock or assets
280A	1833	Disallowance of certain expenses in connection with business use of home,
280B	1839	Demolition of structures
280C	1840	Certain expenses for which credits are allowable
280E	1848	Expenditures in connection with the illegal sale of drugs
280F	1848	Limitation on depreciation for luxury automobiles; limitation where
280G	1857	Golden parachute payments
280H	1863	Limitation on certain amounts paid to employee-owners by personal
281	1865	Terminal railroad corporations and their shareholders
291	1867	Special rules relating to corporate preference items
301	1874	Distributions of property
302	1879	Distributions in redemption of stock
303	1885	Distributions in redemption of stock to pay death taxes
304	1887	Redemption through use of related corporations
305	1894	Distributions of stock and stock rights
306	1899	Dispositions of certain stock
307	1903	Basis of stock and stock rights acquired in distributions
311	1904	Taxability of corporation on distribution
312	1909	Effect on earnings and profits
316	1922	Dividend defined
317	1924	Other definitions
318	1924	Constructive ownership of stock
331	1928	Gain or loss to shareholder in corporate liquidations
332	1929	Complete liquidations of subsidiaries
334	1932	Basis of property received in liquidations
336	1935	Gain or loss recognized on property distributed in complete liquidation
337	1941	Nonrecognition for property distributed to parent in complete liquidation
338	1944	Certain stock purchases treated as asset acquisitions
346	1954	Definition and special rule
351	1956	Transfer to corporation controlled by transferor
354	1962	Exchanges of stock and securities in certain reorganizations
355	1965	Distribution of stock and securities of a controlled corporation
356	1979	Receipt of additional consideration
357	1981	Assumption of liability
358	1984	Basis to distributees
361	1988	Nonrecognition of gain or loss to corporations; treatment of distributions
362	1990	Basis to corporations
367	1994	Foreign corporations
368	2001	Definitions relating to corporate reorganizations
381	2010	Carryovers in certain corporate acquisitions
382	2022	Limitation on net operating loss carryforwards and certain built-in losses
383	2041	Special limitations on certain excess credits, etc.
384	2045	Limitation on use of preacquisition losses to offset built-in gains
385	2048	Treatment of certain interests in corporations as stock or indebtedness
401	2052	Qualified pension, profit-sharing, and stock bonus plans
402	2148	Taxability of beneficiary of employees' trust
402A	2183	Optional treatment of elective deferrals as Roth contributions
403	2192	Taxation of employee annuities
404	2212	Deduction for contributions of an employer to an employees' trust or
404A	2239	Deduction for certain foreign deferred compensation plans
406	2245	Employees of foreign affiliates covered by section 3121(l) agreements
407	2250	Certain employees of domestic subsidiaries engaged in business outside the
408	2254	Individual retirement accounts
408A	2294	Roth IRAs
409	2305	Qualifications for tax credit employee stock ownership plans
409A	2320	Inclusion in gross income of deferred compensation under nonqualified
410	2328	Minimum participation standards
411	2339	Minimum vesting standards
412	2370	Minimum funding standards
413	2386	Collectively bargained plans, etc.
414	2393	Definitions and special rules
414A	2444	Requirements related to automatic enrollment
415	2445	Limitations on benefits and contribution under qualified plans
416	2474	Special rules for top-heavy plans
417	2484	Definitions and special rules for purposes of minimum survivor annuity
418E	2494	Insolvent plans
419	2498	Treatment of funded welfare benefit plans
419A	2502	Qualified asset account; limitation on additions to account
420	2509	Transfers of excess pension assets to retiree health accounts
421	2524	General rules
422	2527	Incentive stock options
423	2532	Employee stock purchase plans
424	2535	Definitions and special rules
430	2540	Minimum funding standards for single-employer defined benefit pension
431	2574	Minimum funding standards for multiemployer plans
432	2585	Additional funding rules for multiemployer plans in endangered status or
433	2618	Minimum funding standards for CSEC plans
436	2631	Funding-based limits on benefits and benefit accruals under
441	2639	Period for computation of taxable income
442	2642	Change of annual accounting period
443	2643	Returns for a period of less than 12 months
444	2646	Election of taxable year other than required taxable year
446	2649	General rule for methods of accounting
447	2650	Method of accounting for corporations engaged in farming
448	2656	Limitation on use of cash method of accounting
451	2661	General rule for taxable year of inclusion
453	2674	Installment method
453A	2687	Special rules for nondealers
453B	2692	Gain or loss on disposition of installment obligations
454	2697	Obligations issued at discount
455	2699	Prepaid subscription income
456	2700	Prepaid dues income of certain membership organizations
457	2702	Deferred compensation plans of State and local governments and
457A	2718	Nonqualified deferred compensation from certain tax indifferent parties
458	2721	Magazines, paperbacks, and records returned after the close of the taxable
460	2724	Special rules for long-term contracts
461	2736	General rule for taxable year of deduction
464	2751	Limitations on deductions for certain farming expenses
465	2754	Deductions limited to amount at risk
467	2766	Certain payments for the use of property or services
468	2772	Special rules for mining and solid waste reclamation and closing costs
468A	2776	Special rules for nuclear decommissioning costs
468B	2780	Special rules for designated settlement funds
469	2784	Passive activity losses and credits limited
470	2799	Limitation on deductions allocable to property used by governments or
471	2804	General rule for inventories
472	2806	Last-in, first-out inventories
473	2807	Qualified liquidations of LIFO inventories
474	2810	Simplified dollar-value LIFO method for certain small businesses
475	2812	Mark to market accounting method for dealers in securities
481	2818	Adjustments required by changes in method of accounting
482	2822	Allocation of income and deductions among taxpayers
483	2823	Interest on certain deferred payments
501	2828	Exemption from tax on corporations, certain trusts, etc.
502	2864	Feeder organizations
503	2865	Requirements for exemption
504	2869	Status after organization ceases to qualify for exemption under section
505	2870	Additional requirements for organizations described in paragraph (9) or
506	2873	Organizations required to notify Secretary of intent to operate under
507	2875	Termination of private foundation status
508	2878	Special rules with respect to section 501(c)(3) organizations
509	2881	Private foundation defined
511	2885	Imposition of tax on unrelated business income of charitable, etc.,
512	2888	Unrelated business taxable income
513	2907	Unrelated trade or business
514	2913	Unrelated debt-financed income
515	2926	Taxes of foreign countries and possessions of the United States
521	2926	Exemption of farmers' cooperatives from tax
526	2928	Shipowners' protection and indemnity associations
527	2928	Political organizations
528	2939	Certain homeowners associations
529	2942	Qualified tuition programs
529A	2956	Qualified ABLE programs
530	2963	Coverdell education savings accounts
530A	2970	Trump accounts
531	2976	Imposition of accumulated earnings tax
532	2977	Corporations subject to accumulated earnings tax
533	2978	Evidence of purpose to avoid income tax
